Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Brownhill,Burnley,Burnley,"AMF, RCMF, LDMF",27,9000000,2024-06-30,30,2915,5,3.06,7,4.08,15.93,49.81,England,England,right,180,69,no,7.47,5.8,60.11,3.3,57.01,0.86,1.56,0.06,3.12,5.62,1.48,7,0.22,0,0,1.7,0.15,5,0.15,0.09,0,0,45,1.39,42.22,11.111,0.22,0.9,41.38,0.56,22.22,0.34,72.73,0,1.02,42.42,3.7,33.33,2.25,1.08,0.43,30.01,0.99,0.46,42.21,85.15,10.71,71.76,12.16,95.94,11.61,85.37,39.15,88.8,2.25,35.62,15.96,27.92,0.13,1.2,0.12,0.06,0.74,41.67,0.46,4.01,67.69,1.79,60.34,0.8,38.46,0.9,0.37,3.92,72.44,0,,0,,0,0,0,0,,,0.46,,,0.99,0.22,28.57,3.37,0,0
T. Cantwell,Rangers,Norwich City,"LAMF, LWF, AMF",24,8000000,2023-06-30,18,967,0,1.38,0,1.75,15.45,48.8,England,England,right,177,70,no,6.7,5.31,56.14,0.93,20,0.56,0.87,0.09,3.16,4.95,0.93,2,0.19,0,0,2.61,0,0,0,0.13,0,0,13,1.21,38.46,0,0,1.68,33.33,0.84,33.33,0.84,33.33,0,1.58,76.47,7.17,45.45,1.95,1.68,1.02,29.32,1.12,1.95,38.9,82.3,9.87,66.04,10.42,95.54,11.63,82.4,33.97,87.12,3.54,55.26,18.12,28.01,0.16,1.68,0,0,1.21,30.77,0.56,3.63,64.1,3.16,58.82,2.05,27.27,1.4,0.47,5.4,74.14,0,,0,,0,0,0,0,,,0.19,,,0.93,0,0,4.47,0,0
B. Cabango,Swansea City,Swansea City,"LCB, RCB",22,8000000,2025-06-30,27,2523,1,2.29,0,1.28,14.77,60.87,Wales,"Wales, Angola",right,188,81,no,8.24,5.78,71.6,4.03,55.75,0.21,0.38,0.39,3.89,6.91,0.61,6,0.21,1,0.04,0.54,0.04,1,0.04,0.08,1,0.04,18,0.64,44.44,5.556,0,0.14,50,0.04,100,0.11,33.33,0,0.25,28.57,1.64,47.83,1.14,1.68,0.04,55.4,0.36,0.43,69.52,90.71,26.75,84.13,4,92.86,27.68,96.52,65.07,93.64,4.32,47.93,17.58,39.27,0.05,0.29,0,0,0.29,37.5,0.18,7.38,78.26,0.78,27.27,0.61,11.76,0.29,0.04,8.49,68.49,0,,0,,0,0,0,0,,,1,,,0.04,0,0,0,0,0
J. Greaves,Hull City,Hull City,"LB, LCB",22,8000000,2026-06-30,31,2864,4,2.53,2,1.6,18.23,60.69,England,England,left,193,72,no,11.69,6.66,72.17,5.69,65.19,0.82,1.1,0.47,6.06,8.18,0.72,7,0.22,0,0,0.97,0.13,4,0.13,0.08,1,0.03,17,0.53,29.41,23.529,0.06,1.1,20,1.1,20,0,0,0.13,0.82,61.54,2.64,39.29,0.91,0.91,0.31,32.56,0.88,0.6,47.61,83.1,20.43,74.46,5.25,95.81,15.87,88.71,41.07,89.67,5.5,46.29,19.19,36.63,0.05,0.25,0.03,0.06,0.25,37.5,0.16,6.38,67,1.29,34.15,0.53,29.41,0.47,0.22,7.64,57.61,0,,0,,0,0,0,0,,,0.97,,,0,0,0,0,0,0
D. Dike,West Bromwich Albion,West Bromwich Albion,CF,22,7000000,2026-06-30,12,635,3,3.74,1,0.36,28.63,38.61,United States,"United States, Nigeria",right,188,100,no,3.69,2.98,66.67,11.34,40,0.43,0.56,0.14,1.28,1.68,1.7,1,0.14,0,0,1.84,0.43,3,0.43,0.53,2,0.28,20,2.83,25,15,0.14,0.57,50,0,0,0.57,50,0.14,1.84,46.15,8.79,30.65,4.82,0.71,0,8.08,1.42,1.13,13.04,76.09,3.26,73.91,3.54,88,3.4,70.83,11.91,78.57,0.57,50,12.9,7.74,0.05,0.71,0,0,0.14,0,0.43,0.43,100,0.71,80,0,0,1.13,0.28,0.85,83.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
I. Ndiaye,Sheffield United,Sheffield United,"CF, AMF",22,7000000,2024-06-30,30,2607,10,9.71,6,1.91,29.03,39.12,France,"France, Senegal",right,180,76,no,6.87,6.39,62.7,2.11,21.31,0.03,0.05,0.17,2.83,4.18,1.21,3,0.1,0,0,3.9,0.35,10,0.35,0.34,2,0.07,51,1.76,37.25,19.608,0.21,0.59,17.65,0.17,0,0.38,27.27,0.1,4.28,66.13,15.43,35.57,3.83,2,0.9,14.4,1.31,1.62,23.68,83.38,4.56,65.91,7.25,94.29,6.35,85.33,22.78,85.3,0.35,70,13.78,7.14,0.07,0.93,0.07,0.07,0.55,56.25,0.55,1.86,66.67,1.45,61.9,0.48,57.14,1.38,0.1,1.93,76.79,0,,0,,0,0,0,0,,,0.03,,,0,0,0,0,0,0
J. Egan,Sheffield United,Sheffield United,CB,30,7000000,2024-06-30,29,2872,2,3.8,2,0.48,14.67,61.32,Republic of Ireland,Republic of Ireland,right,185,75,no,9.34,4.86,70.32,6.2,60.61,0.22,0.33,0.6,5.7,8.48,0.66,6,0.19,1,0.03,0.5,0.06,2,0.06,0.12,1,0.03,26,0.81,42.31,7.692,0.06,0.03,0,0,0,0.03,0,0,0.25,62.5,0.63,40,1.32,0.25,0.09,21.69,0.09,0.28,39.99,82.76,17.77,68.96,1.85,93.22,16.89,95.73,32.72,87.55,7.24,61.47,23,39.31,0.01,0.06,0.03,0.03,0.03,0,0.03,5.01,56.88,0.38,50,0.34,45.45,0.28,0,8.27,66.29,0,,0,,0,0,0,0,,,1.41,,,0,0,0,0,0,0
M. Grimes,Swansea City,Swansea City,"LCMF, DMF, RCMF",27,7000000,2025-06-30,29,2859,1,1.23,4,2.67,11.49,47.4,England,England,left,179,70,no,6.42,4.44,65.96,1.95,27.42,0.22,0.39,0.25,3.27,5.8,0.47,6,0.19,0,0,1.13,0.03,1,0.03,0.04,0,0,22,0.69,22.73,4.545,0.13,1.1,40,0.66,38.1,0.38,41.67,0.25,0.57,61.11,2.9,38.04,0.31,2.36,0.41,69.41,0.13,0.6,86.51,91.67,23.83,80.98,13.03,98.55,32.64,95.27,80.68,95.04,4.78,45.39,16.87,38.48,0.08,0.85,0.03,0,0.66,28.57,0.35,13.69,80.69,2.99,45.26,1.79,21.05,0.94,0.44,10.83,82.27,0,,0,,0,0,0,0,,,0.57,,,0.22,0,0,0.94,0,0
A. Scott,Bristol City,Bristol City,"LCMF, AMF",19,7000000,2025-06-30,29,2588,0,0.53,5,2.23,24.62,47.74,Guernsey,"Guernsey, England",right,178,69,no,8.69,8.21,55.51,4.07,33.33,0.63,0.85,0.1,3.51,4.76,1.46,9,0.31,0,0,2.96,0,0,0,0.02,0,0,22,0.77,31.82,0,0.17,1.18,26.47,0.7,25,0.45,30.77,0.1,3.51,64.36,8.42,51.65,0.83,1.32,0.52,18.78,0.35,2.3,30.5,81.3,8.94,64.98,7.27,95.22,9.67,85.97,26.46,86.47,2.92,54.76,18.91,34.03,0.08,0.63,0.03,0.03,0.45,30.77,0.35,4.49,66.67,1.88,51.85,0.73,23.81,0.7,0.45,5.04,70.34,0,,0,,0,0,0,0,,,0.28,,,0.8,0.1,0,1.22,0,0
L. Delap,Preston North End,Preston North End,CF,20,7000000,2026-06-30,26,1705,3,5.96,0,1.14,32.52,30.19,England,"England, Republic of Ireland",right,186,77,yes,2.96,3.8,43.06,6.97,30.3,0.11,0.14,0.11,1.21,1.59,2.85,7,0.37,0,0,3.59,0.16,3,0.16,0.31,0,0,35,1.85,37.14,8.571,0,0.74,21.43,0.37,0,0.32,50,0.11,5.44,48.54,14.25,32.22,3.59,1.48,0.48,7.55,1.79,1.95,10.13,64.06,2.22,47.62,1.69,71.88,3.06,63.79,8.87,69.64,0.58,27.27,15.86,15.12,0.06,0.37,0.11,0,0.26,40,0.16,1.27,37.5,0.63,50,0.21,25,0.53,0.21,1,68.42,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
