Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Doyle,Coventry City,Coventry City,"CB, RCB, LCB",19,4000000,2024-06-30,26,2271,0,0.54,0,0.16,16.13,56.02,England,England,left,188,85,yes,10.11,6.5,70.12,4.16,45.71,0.24,0.29,0.67,5.31,6.55,0.63,2,0.08,0,0,0.63,0,0,0,0.02,0,0,4,0.16,50,0,0,0.28,28.57,0.28,28.57,0,0,0.04,0.71,55.56,2.1,33.96,0.24,0.99,0.48,22.87,0.24,0.24,37.17,81.34,17.4,69.7,1.86,97.87,13.36,91.69,31.07,88.14,5.83,47.62,21.66,44.18,0.01,0.12,0.04,0,0.24,33.33,0,5.87,62.16,0.95,37.5,0.55,28.57,0.28,0.08,8.72,65,0,,0,,0,0,0,0,,,0.83,,,0.04,0.04,0,0,0,0
R. Stewart,Sunderland,Sunderland,CF,26,3500000,2023-06-30,13,1146,10,11.52,2,0.65,26.54,35.21,Scotland,Scotland,right,188,85,no,5.18,3.53,57.78,8.48,35.19,0.71,0.98,0,2.43,3.38,1.1,0,0,0,0,2.67,0.79,8,0.63,0.9,2,0.16,43,3.38,46.51,23.256,0.16,0.47,0,0.16,0,0.31,0,0.16,2.12,40.74,6.83,29.89,4.32,0.71,0.16,17.04,2.67,1.34,23.25,74.66,3.77,47.92,6.52,84.34,7.15,80.22,21.99,76.79,0.79,60,15.34,27.39,0.05,0.47,0.08,0,0.55,42.86,0.31,1.88,62.5,0.47,50,0.47,33.33,0.55,0,1.73,40.91,0,,0,,0,0,0,0,,,0,,,0,0,0,0,3,66.667
C. Styles,Millwall,Millwall,"LB, RAMF, LCMF",22,3500000,2025-06-30,18,1046,1,0.74,1,1.31,19.19,41.7,England,"England, Hungary",left,167,60,yes,6.97,6.8,55.7,2.84,24.24,0.17,0.23,0.17,3.01,4.02,1.29,2,0.17,0,0,2.15,0.09,1,0.09,0.06,0,0,11,0.95,36.36,9.091,0.09,1.12,23.08,0.95,18.18,0.17,50,0,2.07,66.67,5.94,42.03,1.29,1.2,0.77,19.96,0.6,1.2,29.34,84.75,7.74,80,5.94,91.3,9.46,85.45,25.47,89.86,2.75,62.5,17.47,22.94,0.11,0.77,0,0.09,0.26,66.67,0.34,4.3,72,1.29,46.67,0.52,66.67,0.43,0.26,4.65,83.33,0,,0,,0,0,0,0,,,0,,,0.34,0,0,1.03,0,0
H. Massengo,Auxerre,Bristol City,"LCMF, RCMF",21,3500000,2023-06-30,10,540,0,0.24,0,0,20.17,50.41,France,"France, Congo",right,177,66,yes,8.83,6.83,75.61,1.67,50,0,0,0.17,3.67,5.84,0.67,2,0.33,0,0,1.33,0,0,0,0.04,0,0,8,1.33,0,0,0,0.67,0,0.33,0,0.33,0,0.17,2,58.33,8,35.42,0.67,1,0.83,23.33,0,1.5,33.33,85.5,10,70,8,95.83,9.83,91.53,30.17,89.5,2.5,60,14.34,18.8,0,0,0,0.17,0.17,100,0,4.67,78.57,1.5,11.11,0.33,50,0.17,0,4.17,76,0,,0,,0,0,0,0,,,1,,,0,0,0,0,0,0
C. Patino,Blackpool,Blackpool,"LCMF, DMF, LDMF",19,3500000,2023-05-31,23,1812,2,0.67,2,1.47,20.12,52.1,England,"England, Spain",left,182,71,yes,11.18,6.75,60.29,3.28,51.52,1.74,2.34,0.3,5.36,7.23,1.64,6,0.3,0,0,2.24,0.1,2,0.1,0.03,0,0,11,0.55,36.36,18.182,0.1,0.65,46.15,0.5,40,0.15,66.67,0,2.53,66.67,6.11,53.66,0.5,0.65,0.35,19.47,0.2,1.94,34.32,73.08,14.25,58.54,5.02,90.1,10.33,80.77,28.26,79.79,5.41,41.28,19.25,39.88,0.07,0.75,0,0,0.2,25,0.3,7.25,56.16,1.29,42.31,0.84,23.53,0.35,0.3,6.75,68.38,0,,0,,0,0,0,0,,,0.4,,,0.4,0,0,0.6,0,0
J. Yates,Blackpool,Blackpool,"CF, LW, RW",26,3500000,2024-06-30,30,2667,9,8.3,1,1.75,23.35,36.85,England,England,right,175,68,no,5.53,4.62,56.2,5.37,33.33,0.13,0.18,0.13,2.8,3.68,1.08,4,0.13,0,0,2.16,0.3,9,0.3,0.28,4,0.13,49,1.65,42.86,18.367,0.03,0.84,24,0.4,16.67,0.4,33.33,0.07,2.19,50.77,8.57,29.92,3.07,0.94,0.44,9.92,1.18,0.84,17.65,76.1,4.12,68.85,5.6,89.76,4.49,65.41,16.1,80.5,0.74,36.36,15.25,17.29,0.06,0.54,0.07,0,0.27,50,0.3,1.01,56.67,1.08,43.75,0.3,55.56,0.67,0.24,2.16,62.5,0,,0,,0,0,0,0,,,0.07,,,0,0,0,0.03,1,0
S. Ajayi,West Bromwich Albion,West Bromwich Albion,RCB,29,3500000,2025-06-30,9,630,0,0.9,0,0.05,18.71,58.02,England,"England, Nigeria",right,193,83,no,7.71,4.86,76.47,8.14,56.14,0.29,0.48,0.29,3.71,6.19,0.71,1,0.14,0,0,0.86,0,0,0,0.13,0,0,7,1,42.86,0,0,0.57,25,0,0,0.57,25,0.14,0.29,0,2.29,37.5,1,2.14,0.57,36.86,0.29,0.71,52.86,89.73,15.57,73.39,3.43,100,31,96.31,48.14,94.07,4.14,48.28,17.91,30.81,0.01,0.14,0,0,0.29,100,0.14,6.57,69.57,1.14,37.5,0.29,50,0.29,0.14,6,73.81,0,,0,,0,0,0,0,,,2.71,,,0,0,0,0,0,0
D. Furlong,West Bromwich Albion,West Bromwich Albion,RB,27,3500000,2025-06-30,24,2258,2,2.19,0,3,17.34,50.34,England,"England, Montserrat",right,183,76,no,7.81,5.34,55.22,4.82,47.93,0.36,0.52,0.36,4.5,6.47,1.32,6,0.24,0,0,2.11,0.08,2,0.08,0.09,1,0.04,17,0.68,29.41,11.765,0,2.15,25.93,0,0,2.15,25.93,0.36,1.95,63.27,4.03,49.5,1.4,1.87,0.2,33.68,2.23,1.04,43.57,78.87,19.33,67.22,7.02,97.16,11.2,84.7,36.15,88.42,5.46,34.31,20.51,40.67,0.12,0.6,0,0.04,0.28,42.86,0.32,7.73,63.92,2.43,37.7,0.44,0,0.44,0.64,9.21,70.56,0,,0,,0,0,0,0,,,0.88,,,0,0,0,0.12,0,0
S. Gallagher,Blackburn Rovers,Blackburn Rovers,"CF, RW, RAMF",27,3500000,2024-06-30,23,1562,3,2.92,1,0.49,23.68,37.96,England,"England, Scotland",right,194,75,no,5.53,4.9,54.12,7.03,41.8,0.4,0.51,0.12,2.48,3.11,1.61,5,0.29,0,0,2.77,0.17,3,0.17,0.17,0,0,23,1.33,52.17,13.043,0.06,0.92,18.75,0.06,0,0.86,20,0,4.09,43.66,8.07,30.71,2.48,1.44,0.52,10.37,1.9,0.63,13.83,63.75,3.98,53.62,2.88,78,3.46,65,12.45,68.52,0.63,36.36,14.28,14.34,0.03,0.63,0.06,0,0.35,33.33,0.29,1.15,60,1.04,38.89,0.35,50,0.4,0.12,2.02,62.86,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
A. Omobamidele,Norwich City,Norwich City,RCB,20,3500000,2026-06-30,21,1976,1,0.86,0,0.01,13.98,61.24,Republic of Ireland,"Republic of Ireland, Nigeria",right,190,80,no,8.97,4.92,72.22,4.01,55.68,0.41,0.69,0.55,5.01,8.48,0.55,5,0.23,0,0,0.36,0.05,1,0.05,0.04,0,0,3,0.14,33.33,33.333,0,0,0,0,0,0,0,0,0.46,70,2,45.45,0.36,1.23,0.14,39.99,0.23,0.87,56.07,90.98,17.58,80.05,3.55,93.59,28.92,97.32,52.29,94.34,3.78,44.58,19.82,34.66,0,0.05,0,0,0.05,0,0,4.83,76.42,0.32,42.86,0.27,16.67,0.14,0,7.01,66.23,0,,0,,0,0,0,0,,,2.64,,,0,0,0,0,0,0
D. Pelkas,Hull City,Hull City,"AMF, LAMF",29,3500000,2023-06-30,16,947,2,1.63,0,0.6,16.82,41.81,Greece,Greece,right,175,73,yes,4.66,4.56,62.5,1.62,23.53,0.57,0.84,0,1.24,1.81,1.33,3,0.29,0,0,2.28,0.19,2,0.19,0.15,1,0.1,17,1.62,29.41,11.765,0,1.05,9.09,0.38,0,0.67,14.29,0.1,2.09,59.09,7.41,37.18,1.81,2.66,0.76,20.53,1.14,0.67,28.61,77.08,8.08,68.24,6.18,89.23,8.08,77.65,26.23,81.88,1.43,40,17.22,27.27,0.06,0.67,0,0,1.24,38.46,0.29,3.71,71.79,2.19,47.83,0.95,30,1.05,0,3.71,71.79,0,,0,,0,0,0,0,,,0.1,,,0.67,0.19,50,2.95,0,0
O. Tufan,Hull City,Hull City,"AMF, RW",27,3500000,2025-06-30,28,1699,4,2.84,0,0.64,16.37,42.72,Turkey,Turkey,right,179,80,no,4.61,4.45,54.76,2.38,48.89,0,0,0.11,2.17,3.11,1.54,1,0.05,0,0,2.01,0.21,3,0.16,0.15,0,0,31,1.64,22.58,12.903,0,0.69,30.77,0.05,0,0.64,33.33,0.16,2.22,57.14,6.2,38.46,1.54,1.22,0.74,22.25,0.74,0.85,32.68,81.85,8.16,60.39,7.31,96.38,10.06,88.95,29.24,85.33,2.75,57.69,16.93,27.63,0.03,0.58,0,0.05,1.01,15.79,0.21,4.08,61.04,1.85,57.14,1.27,16.67,0.9,0.32,3.39,71.88,0,,0,,0,0,0,0,,,0.21,,,0.32,0.16,33.33,0.64,1,100
B. Mitchell,Millwall,Millwall,"RDMF, RCMF, LDMF",21,3500000,,29,2649,0,0.63,1,0.36,15.56,45.85,England,England,right,178,75,no,7.71,5.57,64.63,2.58,35.53,0.14,0.18,0.1,3.98,5.28,0.95,4,0.14,0,0,1.39,0,0,0,0.02,0,0,15,0.51,33.33,0,0.03,1.43,38.1,0.51,40,0.92,37.04,0.07,1.46,41.86,4.65,32.12,0.17,0.78,0.44,24.46,0.31,0.58,41.62,84.41,11.76,71.39,7.24,95.31,17.16,89.11,35.64,89.13,4.65,62.04,18.94,34.85,0.01,0.37,0.03,0,0.1,66.67,0.1,7.27,71.03,1.94,42.11,0.37,54.55,0.24,0.54,5.88,73.41,0,,0,,0,0,0,0,,,0.37,,,0,0,0,0,0,0
J. Cooper,Millwall,Millwall,"LCB, CB",28,3500000,2023-06-30,30,2790,3,2.15,3,0.85,20.13,58.17,England,England,left,193,85,no,8.16,5.13,67.3,9.42,62.33,0.16,0.22,0.42,4.55,6.1,1.06,7,0.23,0,0,0.42,0.1,3,0.1,0.07,2,0.06,18,0.58,38.89,16.667,0.1,0.06,50,0.06,50,0,0,0,0.16,80,0.81,44,1.19,0.32,0,18.26,0.19,0.32,32.03,85.1,13.52,73.75,1.81,94.64,14.39,95.52,26.16,90.14,5.81,62.78,23.77,39.72,0.03,0.23,0.03,0,0.03,100,0.13,3.65,71.68,0.39,50,0.29,44.44,0.45,0.03,6.52,73.27,0,,0,,0,0,0,0,,,1.26,,,0,0,0,0,0,0
A. Browne,Preston North End,Preston North End,"RWB, RCMF, LCMF",27,3200000,2024-06-30,27,2025,1,2.01,1,1.04,24.36,46.53,Republic of Ireland,Republic of Ireland,right,179,71,no,8.84,7.73,61.49,6.36,46.85,0.13,0.17,0.27,3.96,5.08,0.93,4,0.18,0,0,2.27,0.04,1,0.04,0.09,1,0.04,18,0.8,66.67,5.556,0.04,1.47,48.48,0.44,30,1.02,56.52,0.18,2.44,38.18,7.02,36.08,1.47,1.16,0.62,20.84,1.51,0.98,31.16,77.89,10.67,62.5,5.6,93.65,9.78,82.73,25.78,83.79,3.96,50.56,18.55,31.67,0.05,0.44,0.04,0,0.4,22.22,0.27,5.16,56.03,2.13,45.83,0.62,7.14,0.4,0.67,5.78,73.85,0,,0,,0,0,0,0,,,0.67,,,0.13,0.04,0,0.4,0,0
R. Norrington-Davies,Sheffield United,Sheffield United,"LCB, LWB",23,3000000,2024-06-30,15,1397,0,0.64,0,1.24,23.39,57.3,Saudi Arabia,"Saudi Arabia, Wales",left,181,68,no,11.53,9.53,75.68,5.48,52.94,0.26,0.41,0.26,4.06,6.49,1.16,4,0.26,0,0,2,0,0,0,0.04,0,0,5,0.32,20,0,0,2.83,29.55,2.83,29.55,0,0,0.39,1.87,58.62,4.19,41.54,0.77,2.38,1.35,27.64,1.03,0.71,39.49,80.42,16.94,74.14,6.25,96.91,10.24,79.25,31.95,89.11,4.7,52.05,20.21,35.71,0.08,0.71,0.06,0.06,0,0,0.39,6.38,71.72,2.64,31.71,0.19,0,0.06,0.84,9.41,76.03,0,,0,,0,0,0,0,,,1.1,,,0,0,0,0,0,0
M. Benson,Burnley,Burnley,"RAMF, RWF",25,3000000,2026-06-30,25,1128,8,2.62,3,1.9,24.34,50.16,Belgium,"Belgium, Angola",right,178,68,no,3.43,3.27,65.85,1.2,20,0,0,0,1.28,2.59,0.32,2,0.16,0,0,10.21,0.64,8,0.64,0.21,0,0,41,3.27,31.71,19.512,0.24,6.46,27.16,0.48,33.33,5.98,26.67,1.2,11.73,61.22,17.63,52.04,4.87,4.39,2.15,28.09,2.55,1.76,36.78,78.52,4.23,67.92,15.16,93.16,11.57,68.28,29.12,90.41,1.36,58.82,18.99,15.33,0.15,1.28,0.08,0.08,0.56,42.86,1.04,1.36,70.59,5.35,35.82,0.8,50,0.88,2.07,3.91,75.51,0,,0,,0,0,0,0,,,0.32,,,0.4,0.16,0,1.52,0,0
T. Doyle,Sheffield United,Sheffield United,"LCMF, RCMF",21,3000000,2025-06-30,19,1103,1,1.3,2,1.9,13.06,48.13,England,England,right,172,73,yes,7.59,6.12,58.67,1.8,36.36,0.9,1.31,0,3.1,4.54,0.57,1,0.08,0,0,2.69,0.08,1,0.08,0.11,0,0,21,1.71,52.38,4.762,0.16,1.96,41.67,0.65,25,1.22,53.33,0.24,1.31,62.5,2.77,44.12,1.47,1.22,0.82,23.91,0.41,0.65,37.86,78.88,14.2,64.94,7.59,93.55,10.12,87.1,31.58,85.27,4.49,47.27,19.5,28.57,0.16,1.14,0.24,0.08,0.9,18.18,0.49,6.45,67.09,3.26,57.5,1.55,31.58,1.14,0.82,6.53,82.5,0,,0,,0,0,0,0,,,0.57,,,0.65,0.08,0,1.63,0,0
Y. Asprilla,Watford,Watford,"AMF, RCMF, RAMF",19,3000000,2026-06-30,26,1372,0,2.05,2,1.57,23.88,35.44,Colombia,Colombia,left,185,75,no,5.44,7.08,43.52,3.08,34.04,0.13,0.2,0,2.23,3.45,1.51,4,0.26,0,0,3.41,0,0,0,0.13,0,0,19,1.25,36.84,0,0.13,1.25,42.11,0.66,40,0.59,44.44,0.2,3.67,53.57,9.77,30.87,1.44,2.03,0.52,18.56,0.85,0.85,27.81,78.54,8.46,63.57,6.89,95.24,6.89,78.1,24.14,82.07,2.49,60.53,15.82,23.15,0.1,0.79,0.07,0,0.85,53.85,0.52,3.54,68.52,2.36,50,1.38,47.62,0.85,0.52,4.4,82.09,0,,0,,0,0,0,0,,,0.2,,,0.07,0,0,0.33,0,0
J. Bree,Southampton,Luton Town,"RWB, RCB",25,3000000,2026-06-30,27,2649,0,0.33,4,8.17,14.51,53.63,England,England,right,172,73,no,7.24,5.54,64.42,3.19,52.13,0.03,0.04,0.14,3.64,4.78,0.82,3,0.1,0,0,2.62,0,0,0,0.01,0,0,13,0.44,23.08,0,0.14,3.77,44.14,0.31,55.56,3.4,43,0.61,1.39,58.54,2.89,44.71,0.68,1.16,0.48,19.71,1.46,0.44,30.17,74.32,12.23,70,4.01,92.37,9.55,72.6,22.46,83.96,4.14,46.72,20.8,33.67,0.28,1.97,0,0.03,0.17,20,0.68,4.76,62.14,4.35,48.44,0.58,29.41,0.65,1.8,7.75,85.09,0,,0,,0,0,0,0,,,0.68,,,1.63,0.2,16.67,3.02,0,0
W. Troost-Ekong,Salernitana,Watford,"RCB, CB",29,3000000,2025-06-30,15,1203,1,1.06,0,0.14,14.74,60.41,Netherlands,"Netherlands, Nigeria",right,191,82,yes,6.43,3.97,62.26,7.03,62.77,0.15,0.23,0.67,3.82,5.8,0.6,1,0.07,0,0,0.3,0.07,1,0.07,0.08,0,0,4,0.3,25,25,0,0.07,100,0.07,100,0,0,0.07,0.15,100,0.82,63.64,0.3,0.6,0,30.15,0,0,43.54,87.46,16.08,77.67,3.37,95.56,20.35,94.49,36.28,93.2,7.18,58.33,23.28,37.21,0.01,0.07,0,0,0,0,0.07,4.79,62.5,0.6,50,0.37,0,0.15,0.07,8.45,74.34,0,,0,,0,0,0,0,,,2.84,,,0,0,0,0,0,0
T. Kaminski,Blackburn Rovers,Blackburn Rovers,GK,30,3000000,2025-06-30,28,2736,0,0,0,0,0.53,81.25,Belgium,"Belgium, Poland",right,190,78,no,1.28,0.07,100,0.33,80,0,0,0,1.22,1.59,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,0,0,0,15.1,0.07,0.1,22.27,86.56,11.25,76.02,0,0,10.23,97.75,16.12,98.57,6.15,55.08,29.45,47.17,0,0,0,0,0,0,0,1.51,50,0.13,0,0,0,0,0,4.54,57.97,35,1.15,117,3.85,10,70.09,39.17,1.29,4.17,0.137,0,1.18,0.33,,,,0,0,0
A. Ramsey,Middlesbrough,Norwich City,"AMF, LWF",20,3000000,2023-06-30,18,1102,3,3.28,3,2.56,18.38,36.89,England,England,right,180,72,yes,3.59,3.27,57.5,2.12,26.92,0.08,0.13,0.08,1.63,2.58,0.49,0,0,0,0,2.78,0.25,3,0.25,0.27,0,0,15,1.23,53.33,20,0.25,1.14,14.29,0.9,9.09,0.25,33.33,0.33,3.43,45.24,9.64,33.9,3.1,1.63,0.9,26.22,0.82,1.31,34.3,82.86,8.41,67.96,7.02,97.67,11.03,85.19,31.93,85.68,1.39,70.59,16.47,19.92,0.21,1.39,0.08,0.08,0.74,55.56,0.57,3.35,70.73,2.61,53.13,0.49,66.67,1.88,0.08,4.25,80.77,0,,0,,0,0,0,0,,,0,,,0,0,0,0.33,0,0
O. Ejaria,Reading,Reading,"LW, LWF, LCMF",25,3000000,2024-06-30,8,455,0,0.1,1,0.01,19.98,47.52,England,"England, Nigeria",right,183,75,no,8.51,6.13,61.29,3.16,56.25,0.79,0.99,0,3.96,4.96,0.59,1,0.2,0,0,1.98,0,0,0,0.02,0,0,1,0.2,0,0,0.2,0.99,20,0.99,20,0,0,0.2,2.18,72.73,7.52,36.84,0.79,0.79,0,17.6,0.59,0.79,25.52,80.62,6.33,68.75,6.73,94.12,6.92,77.14,23.34,87.29,1.19,0,15.39,21.86,0,0.4,0,0.2,0.2,100,0.4,2.18,63.64,1.58,37.5,0.4,50,0.4,0.2,2.18,63.64,0,,0,,0,0,0,0,,,0,,,0,0,0,0.4,0,0
R. Williams,Liverpool,Blackpool,"LCB, RCB",22,3000000,2026-06-30,17,1269,0,0.49,0,0.08,11.42,58.39,England,"England, Jamaica",right,195,82,no,7.73,4.68,69.7,4.04,52.63,0.5,0.63,0.35,3.97,5.06,0.5,2,0.14,0,0,0.07,0,0,0,0.04,0,0,3,0.21,33.33,0,0,0,0,0,0,0,0,0,0,0,0.5,85.71,0.28,0.14,0,18.51,0.14,0.14,32.48,82.31,13.55,64.92,0.92,92.31,16.52,95.71,27.66,88.21,4.82,48.53,21.58,38.65,0.01,0.14,0,0,0,0,0,3.55,50,0.28,25,0,0,0.07,0,5.74,55.56,0,,0,,0,0,0,0,,,0.43,,,0,0,0,0,0,0
J. Tymon,Stoke City,Stoke City,"LWB, LB",23,3000000,2025-06-30,16,1296,1,0.62,4,3.59,14.51,39.23,England,England,left,178,74,no,5.9,4.72,47.06,2.29,24.24,0,0,0.07,3.68,5.1,0.56,1,0.07,0,0,3.26,0.07,1,0.07,0.04,0,0,10,0.69,40,10,0.28,3.82,27.27,3.82,27.27,0,0,0.9,3.13,57.78,5.07,45.21,1.04,2.22,0.69,22.99,1.11,0.42,33.26,72.86,12.71,64.48,4.79,94.2,10,71.53,25.63,81.84,3.82,58.18,20.17,32.92,0.25,1.32,0,0.07,0.21,66.67,0.9,5.69,62.2,4.03,46.55,0.9,53.85,1.11,1.11,9.51,82.48,0,,0,,0,0,0,0,,,0.28,,,0.14,0,0,0.14,0,0
M. Helik,Huddersfield Town,Huddersfield Town,"CB, LCB, RCB",27,3000000,2025-06-30,21,2054,2,1.82,0,0.55,15.82,64.27,Poland,Poland,right,191,80,no,10.87,5.04,66.96,6.4,63.7,0.31,0.38,1.36,7.19,8.95,0.57,2,0.09,0,0,0.39,0.09,2,0.09,0.08,2,0.09,13,0.57,38.46,15.385,0,0.13,33.33,0.04,100,0.09,0,0.09,0.13,100,0.53,50,1.1,0.53,0.04,23.66,0.04,0.26,39.7,86.09,14.63,71.26,1.93,90.91,20.33,95.69,34.79,90.18,4.78,57.8,22,40.19,0.02,0.13,0,0,0.04,0,0.04,3.94,71.11,0.26,16.67,0.13,0,0.18,0.09,6.7,60.78,0,,0,,0,0,0,0,,,1.49,,,0,0,0,0,0,0
J. Panzo,Coventry City,Coventry City,LCB,22,3000000,2025-06-30,27,2334,1,1.62,0,0.08,17.43,58.85,England,"England, Côte d'Ivoire",left,185,72,yes,10.91,7.83,68.47,4.63,56.67,0.27,0.35,0.46,5.28,6.79,1.04,7,0.27,0,0,0.85,0.04,1,0.04,0.06,1,0.04,11,0.42,36.36,9.091,0,0.19,20,0.12,0,0.08,50,0,1,65.38,2.47,43.75,0.46,1.39,0.58,24.87,0.12,0.46,38.71,87.25,15.27,78.28,4.28,98.2,13.84,94.15,35.71,90.71,2.81,47.95,18.41,30.92,0,0.12,0,0,0.15,0,0,4.63,74.17,0.42,18.18,0.19,40,0.08,0.04,7.25,71.28,0,,0,,0,0,0,0,,,1.43,,,0,0,0,0,0,0
C. Taylor,Burnley,Burnley,LCB,29,3000000,2024-06-30,24,1496,0,0.94,1,0.41,14.5,63.9,England,England,left,176,72,no,7.76,3.73,72.58,5.41,62.22,0.42,0.77,0.66,4.63,8.43,0.42,2,0.12,0,0,0.9,0,0,0,0.06,0,0,2,0.12,100,0,0.06,0.66,27.27,0.54,22.22,0.12,50,0.12,0.96,56.25,2.23,54.05,0.3,1.08,0.18,48.49,0.6,0.9,63.23,89.91,22.44,79.62,4.39,100,30.68,95.49,55.05,95.63,7.58,53.97,20.59,33.91,0.02,0.3,0,0.06,0.18,33.33,0.12,6.74,64.29,1.02,17.65,0.54,22.22,0.06,0.12,8.66,77.78,0,,0,,0,0,0,0,,,2.71,,,0.06,0,0,0,0,0
B. Whiteman,Preston North End,Preston North End,"DMF, RCMF, LCMF",26,3000000,2024-06-30,25,2269,2,1.64,2,1.88,11.54,56.01,England,England,right,185,68,no,10.79,6.11,56.49,1.94,61.22,0.83,1.11,0.48,6.51,8.69,1.15,4,0.16,0,0,0.95,0.08,1,0.04,0.07,0,0,26,1.03,23.08,7.692,0.08,0.44,45.45,0.24,50,0.2,40,0.08,0.32,75,0.75,47.37,0.28,0.44,0.2,24.31,0.2,0.28,38.36,84.38,12.14,66.01,4.68,94.07,16.7,94.77,33.95,89.95,3.97,41,20.59,35.18,0.07,0.75,0.08,0,0.44,63.64,0.16,6.74,70,1.19,50,0.52,30.77,0.44,0.2,5.79,70.55,0,,0,,0,0,0,0,,,0.56,,,1.15,0.08,0,1.59,1,100
O. Yokuşlu,West Bromwich Albion,West Bromwich Albion,"LDMF, LCMF, RDMF",28,3000000,2025-06-30,26,2047,3,2.24,0,0.83,20.84,55.49,Turkey,Turkey,right,191,79,no,9.5,5.32,66.12,6.6,66,0.62,0.9,0.35,5.36,7.87,1.01,3,0.13,0,0,1.36,0.13,3,0.13,0.1,0,0,20,0.88,30,15,0,0.26,33.33,0.13,0,0.13,66.67,0,1.41,62.5,4.79,43.12,1.01,0.79,0.13,25.19,0.18,0.7,40.89,86.13,12.93,77.89,5.32,94.21,15.48,89.77,38.43,88.44,2.24,50.98,16.95,32.13,0.04,0.35,0.04,0.09,0.35,37.5,0.18,5.32,79.34,0.84,47.37,0.35,62.5,0.4,0.09,5.06,71.3,0,,0,,0,0,0,0,,,0.31,,,0,0,0,0,0,0
S. McCallum,Norwich City,Norwich City,LB,22,3000000,2024-06-30,12,900,0,0.14,1,0.44,19.2,53.65,England,England,left,177,73,no,14.2,9.4,54.26,3.6,63.89,0.7,1,0.6,8.4,11.94,0.9,3,0.3,0,0,1.9,0,0,0,0.01,0,0,5,0.5,0,0,0.1,2.4,25,2.2,22.73,0.2,50,0.1,2.3,47.83,3.7,45.95,0.4,1.2,0.4,31.6,2.8,1.3,42.3,71.87,18.9,60.32,7.2,93.06,10.9,77.98,31.8,80.19,8.2,53.66,22.95,36.62,0.04,0.4,0,0,0.5,40,0.5,6.8,55.88,2.6,26.92,0.7,42.86,0.3,0.6,11.1,57.66,0,,0,,0,0,0,0,,,0.7,,,0.1,0,0,0.1,0,0
H. Pickering,Blackburn Rovers,Blackburn Rovers,"LB, LWB",24,3000000,2025-06-30,27,2518,0,0.01,0,0.65,15.15,56.13,England,England,left,185,78,no,10.12,8.15,67.54,2.36,45.45,0.18,0.23,0.18,4.43,5.75,0.68,2,0.07,0,0,1.14,0,0,0,0,0,0,3,0.11,0,0,0,1.18,39.39,1.07,43.33,0.11,0,0.04,0.75,61.9,2.36,42.42,0.21,0.64,0.11,30.85,1.61,0.61,41.75,80.91,16.55,69.11,6.79,96.32,12.65,85.88,34.42,88.79,6.15,44.77,18.73,34.68,0.02,0.36,0.04,0.04,0.36,60,0.14,6.11,56.73,2.36,43.94,1.25,31.43,0.54,0.46,8.47,67.09,0,,0,,0,0,0,0,,,0.61,,,0.14,0.04,0,0.07,0,0
